ID,Airport,City,Country,Code
6979,Tapini Airport,Tapini,Papua New Guinea,TPI
6980,Wanigela Airport,Wanigela,Papua New Guinea,AGL
6981,Woitape Airport,Woitape,Papua New Guinea,WTP
6982,Awaba Airport,Awaba,Papua New Guinea,AWB
6983,Telefomin Airport,Telefomin,Papua New Guinea,TFM
6985,Nelspruit Airport,Nelspruit,SA,NLP
6986,Cherkassy,Cherkassy,Ukraine,CKC
6990,Mykolaiv International Airport,Nikolayev,Ukraine,NLV
6991,Ramechhap,Ramechhap,Nepal,RHP
7003,Barataevka,Ulyanovsk,Russia,ULV
7005,Sabi Sabi Airport,Sabi Sabi,SA,GSS
7012,Seal Cove Seaplane Base,Prince Rupert,Canada,ZSW
7022,Berens River,Berens River,Canada,YBV
7024,Seaplane Base,Port Simpson,Canada,YPI
7027,Air Base,Interlaken,Switzerland,ZIN
7029,Municipal,Corozal,Belize,CZH
7030,Inisheer,Inisheer,Ireland,INQ
7033,Strezhevoy,Strezhevoy,Russia,SWT
7036,Bagram AFB,Kabul,Afghanistan,BPM
7041,Gelendzik,Gelendzik,Russia,GDZ
7047,Cuxhaven Airport,Cuxhaven,Germany,NDZ
7050,Adana-Incirlik Airbase,Adana,Turkey,UAB
7052,Xi\\'An Xiguan,Xi\\'AN,China,SIA
7060,Riviere Rouge - Mont-Tremblant International Inc. Airport,Mont-Tremblant,Canada,YTM
7123,Laguna de Los Patos International Airport,Colonia,Uruguay,CYR
7125,Amarais Airport,Campinas,Brazil,CPQ
7128,Toowoomba,Toowoomba,Australia,TWB
7131,Arkalyk Airport,Arkalyk,Kazakhstan,AYK
7221,ZAPALA,ZAPALA,Argentina,APZ
7222,Rincon de los Sauces,Rincon de los Sauces,Argentina,RDS
7223,Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN
7225,Rio Turbio,Rio Turbio,Argentina,RYO
7226,Puerto Natales,Puerto Natales,Chile,PNT
7227,Caleta Olivia,Caleta Olivia,Argentina,CVI
7229,Sierra Grande,Sierra Grande,Argentina,SGV
7230,Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,IGB
7232,El Chalten,El Chalten,Argentina,ELX
7252,Postville Airport,Postville,Canada,YSO
7253,Kangiqsujuaq - Wakeham Bay Airport,Kangiqsujuaq,Canada,YWB
7254,Alma Airport,Alma,Canada,YTF
7255,Havre Saint-Pierre Airport,Havre-Saint-Pierre,Canada,YGV
7256,Rimouski Airport,Rimouski,Canada,YXK
7259,Tadoule Lake Airport,Tadoule Lake,Canada,XTL
7260,Lac Brochet Airport,Lac Brochet,Canada,XLB
7261,South Indian Lake Airport,South Indian Lake,Canada,XSI
7262,Brochet Airport,Brochet,Canada,YBT
7263,Little Grand Rapids Airport,Little Grand Rapids,Canada,ZGR
7264,Cross Lake - Charlie Sinclair Memorial Airport,Cross Lake,Canada,YCR
7265,Red Sucker Lake Airport,Red Sucker Lake,Canada,YRS
7266,Rainbow Lake Airport,Rainbow Lake,Canada,YOP
7267,Bonnyville Airport,Bonnyville,Canada,YBY
7268,Nanaimo Harbour Water Airport,Nanaimo,Canada,ZNA
7271,Qualicum Beach Airport,Qualicum Beach,Canada,XQU
7272,Fort St. James - Perison Airport,Fort St. James,Canada,YJM
7273,Boundary Bay Airport,Boundary Bay,Canada,YDT
7275,Bella Bella Airport,Bella Bella,Canada,ZEL
7276,Sechelt Aerodrome,Sechelt-Gibsons,Canada,YHS
7282,Palo Verde Airport,San Bruno,Mexico,PVP
7284,Brussels Gare du Midi,Brussels,Belgium,ZYR
7285,Caye Chapel Airport,Caye Chapel,Belize,CYC
7286,Big Creek Airport,Big Creek,Belize,BGK
7287,Dangriga Airport,Dangriga,Belize,DGA
7288,Placencia Airport,Placencia,Belize,PLJ
7289,Sartaneja Airport,Sarteneja,Belize,SJX
7291,Corn Island Airport,Corn Island,Nicaragua,RNI
7292,Bonanza Airport,Bonanza,Nicaragua,BZA
7293,Rosita Airport,Rosita,Nicaragua,RFS
7294,Siuna Airport,Siuna,Nicaragua,SIU
7295,Waspam Airport,Waspam,Nicaragua,WSP
7297,Carrillo Airport,Carrillo,Costa Rica,RIK
7298,Fussen,Fussen,Germany,FUS
7301,Constanza Airport,Constanza,Dominican Republic,COZ
7302,Negril Aerodrome,Negril,Jamaica,NEG
7303,Bochum Railway,Bochum,Germany,EBO
7304,Fliegerhost ,Kaufbeuren,Germany,KFB
7305,Munich Railway,Munich,Germany,ZMU
7306,Nuernberg Railway,Nuernberg,Germany,ZAQ
7307,Jose Aponte de la Torre Airport,Ceiba,Puerto Rico,RVR
7308,Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,RLO
7310,Christiansted Harbor Seaplane Base,Christiansted,Virgin Islands,SSB
7311,Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,ARR
7312,Jose de San Martin Airport,Jose de San Martin,Argentina,JSM
7313,Uyuni Airport,Uyuni,Bolivia,UYU
7314,Augsburg Railway,Augsburg,Germany,ZAU
7315,Mannheim Railway,Mannheim,Germany,ZMA
7316,Essen Railway,Essen,Germany,ZES
7317,Rurrenabaque Airport,Rerrenabaque,Bolivia,RBQ
7320,Abaiang Atoll Airport,Abaiang Atoll,Kiribati,ABF
7325,Albina Airstrip,Albina,Suriname,ABN
7328,Botopassi Airstrip,Botopasi,Suriname,BTO
7329,Djoemoe Airstrip,Djoemoe,Suriname,DOE
7330,Drietabbetje Airstrip,Drietabbetje,Suriname,DRJ
