ID,Airport,City,Country,Code
1,Goroka,Goroka,Papua New Guinea,GKA
2,Madang,Madang,Papua New Guinea,MAG
3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU
4,Nadzab,Nadzab,Papua New Guinea,LAE
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM
6,Wewak Intl,Wewak,Papua New Guinea,WWK
7,Narsarsuaq,Narssarssuaq,Greenland,UAK
8,Nuuk,Godthaab,Greenland,GOH
9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ
10,Thule Air Base,Thule,Greenland,THU
11,Akureyri,Akureyri,Iceland,AEY
12,Egilsstadir,Egilsstadir,Iceland,EGS
13,Hornafjordur,Hofn,Iceland,HFN
14,Husavik,Husavik,Iceland,HZK
15,Isafjordur,Isafjordur,Iceland,IFJ
16,Keflavik International Airport,Keflavik,Iceland,KEF
17,Patreksfjordur,Patreksfjordur,Iceland,PFJ
18,Reykjavik,Reykjavik,Iceland,RKV
19,Siglufjordur,Siglufjordur,Iceland,SIJ
20,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY
21,Sault Ste Marie,Sault Sainte Marie,Canada,YAM
22,Winnipeg St Andrews,Winnipeg,Canada,YAV
23,Shearwater,Halifax,Canada,YAW
24,St Anthony,St. Anthony,Canada,YAY
25,Tofino,Tofino,Canada,YAZ
26,Kugaaruk,Pelly Bay,Canada,YBB
27,Baie Comeau,Baie Comeau,Canada,YBC
28,Bagotville,Bagotville,Canada,YBG
29,Baker Lake,Baker Lake,Canada,YBK
30,Campbell River,Campbell River,Canada,YBL
31,Brandon Muni,Brandon,Canada,YBR
32,Cambridge Bay,Cambridge Bay,Canada,YCB
33,Nanaimo,Nanaimo,Canada,YCD
34,Castlegar,Castlegar,Canada,YCG
35,Miramichi,Chatham,Canada,YCH
36,Charlo,Charlo,Canada,YCL
37,Kugluktuk,Coppermine,Canada,YCO
38,Coronation,Coronation,Canada,YCT
39,Chilliwack,Chilliwack,Canada,YCW
40,Clyde River,Clyde River,Canada,YCY
41,Fairmont Hot Springs,Coral Harbour,Canada,YZS
42,Dawson City,Dawson,Canada,YDA
43,Burwash,Burwash,Canada,YDB
44,Princeton,Princeton,Canada,YDC
45,Deer Lake,Deer Lake,Canada,YDF
46,Dease Lake,Dease Lake,Canada,YDL
47,Dauphin Barker,Dauphin,Canada,YDN
48,Dawson Creek,Dawson Creek,Canada,YDQ
49,Edmonton Intl,Edmonton,Canada,YEG
50,Arviat,Eskimo Point,Canada,YEK
51,Estevan,Estevan,Canada,YEN
52,Edson,Edson,Canada,YET
53,Eureka,Eureka,Canada,YEU
54,Inuvik Mike Zubko,Inuvik,Canada,YEV
55,Iqaluit,Iqaluit,Canada,YFB
56,Fredericton,Fredericton,Canada,YFC
58,Flin Flon,Flin Flon,Canada,YFO
59,Fort Resolution,Fort Resolution,Canada,YFR
60,Fort Simpson,Fort Simpson,Canada,YFS
61,Kingston,Kingston,Canada,YGK
62,La Grande Riviere,La Grande Riviere,Canada,YGL
63,Gaspe,Gaspe,Canada,YGP
64,Geraldton Greenstone Regional,Geraldton,Canada,YGQ
65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR
66,Hudson Bay,Hudson Bay,Canada,YHB
67,Dryden Rgnl,Dryden,Canada,YHD
68,Ulukhaktok Holman,Holman Island,Canada,YHI
69,Gjoa Haven,Gjoa Haven,Canada,YHK
70,Hamilton,Hamilton,Canada,YHM
71,St Hubert,Montreal,Canada,YHU
72,Hay River,Hay River,Canada,YHY
73,Halifax Intl,Halifax,Canada,YHZ
74,Atikokan Muni,Atikokan,Canada,YIB
75,Pond Inlet,Pond Inlet,Canada,YIO
76,St Jean,St. Jean,Canada,YJN
77,Stephenville,Stephenville,Canada,YJT
78,Kamloops,Kamloops,Canada,YKA
79,Waterloo,Waterloo,Canada,YKF
80,Schefferville,Schefferville,Canada,YKL
81,Kindersley,Kindersley,Canada,YKY
82,Buttonville Muni,Toronto,Canada,YKZ
83,Chapleau,Chapleau,Canada,YLD
84,Meadow Lake,Meadow Lake,Canada,YLJ
85,Lloydminster,Lloydminster,Canada,YLL
86,Alert,Alert,Canada,YLT
87,Kelowna,Kelowna,Canada,YLW
88,Mayo,Mayo,Canada,YMA
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ
90,Fort Mcmurray,Fort Mcmurray,Canada,YMM
91,Moosonee,Moosonee,Canada,YMO
92,Maniwaki,Maniwaki,Canada,YMW
93,Montreal Intl Mirabel,Montreal,Canada,YMX
94,Natashquan,Natashquan,Canada,YNA
95,Gatineau,Gatineau,Canada,YND
96,Matagami,Matagami,Canada,YNM
97,Old Crow,Old Crow,Canada,YOC
98,Cold Lake,Cold Lake,Canada,YOD
99,High Level,High Level,Canada,YOJ
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW
101,Prince Albert Glass Field,Prince Albert,Canada,YPA
102,Peace River,Peace River,Canada,YPE
103,Southport,Portage-la-prairie,Canada,YPG
105,Pickle Lake,Pickle Lake,Canada,YPL
106,Port Menier,Port Menier,Canada,YPN
107,Peterborough,Peterborough,Canada,YPQ
108,Prince Rupert,Prince Pupert,Canada,YPR
109,Fort Chipewyan,Fort Chipewyan,Canada,YPY
110,Muskoka,Muskoka,Canada,YQA
111,Quebec Jean Lesage Intl,Quebec,Canada,YQB
112,Red Deer Regional,Red Deer Industrial,Canada,YQF
113,Windsor,Windsor,Canada,YQG
114,Watson Lake,Watson Lake,Canada,YQH
115,Kenora,Kenora,Canada,YQK
116,Lethbridge,Lethbridge,Canada,YQL
117,Greater Moncton Intl,Moncton,Canada,YQM
119,Comox,Comox,Canada,YQQ
120,Regina Intl,Regina,Canada,YQR
121,Thunder Bay,Thunder Bay,Canada,YQT
122,Grande Prairie,Grande Prairie,Canada,YQU
123,Yorkton Muni,Yorkton,Canada,YQV
124,North Battleford,North Battleford,Canada,YQW
125,Gander Intl,Gander,Canada,YQX
126,Sydney,Sydney,Canada,YQY
127,Quesnel,Quesnel,Canada,YQZ
128,Resolute Bay,Resolute,Canada,YRB
129,Riviere Du Loup,Riviere Du Loup,Canada,YRI
130,Roberval,Roberval,Canada,YRJ
131,Rocky Mountain House,Rocky Mountain House,Canada,YRM
132,Rankin Inlet,Rankin Inlet,Canada,YRT
133,Sudbury,Sudbury,Canada,YSB
134,Sherbrooke,Sherbrooke,Canada,YSC
135,Saint John,St. John,Canada,YSJ
136,Fort Smith,Fort Smith,Canada,YSM
137,Nanisivik,Nanisivik,Canada,YSR
138,Summerside,Summerside,Canada,YSU
139,Sachs Harbour,Sachs Harbour,Canada,YSY
140,Cape Dorset,Cape Dorset,Canada,YTE
141,Thompson,Thompson,Canada,YTH
142,Trenton,Trenton,Canada,YTR
143,Timmins,Timmins,Canada,YTS
144,City Centre,Toronto,Canada,YTZ
145,Tuktoyaktuk,Tuktoyaktuk,Canada,YUB
146,Pierre Elliott Trudeau Intl,Montreal,Canada,YUL
147,Repulse Bay,Repulse Bay,Canada,YUT
148,Hall Beach,Hall Beach,Canada,YUX
149,Rouyn Noranda,Rouyn,Canada,YUY
150,La Ronge,La Ronge,Canada,YVC
151,Vermilion,Vermillion,Canada,YVG
152,Qikiqtarjuaq,Broughton Island,Canada,YVM
153,Val D Or,Val D'or,Canada,YVO
154,Kuujjuaq,Quujjuaq,Canada,YVP
155,Norman Wells,Norman Wells,Canada,YVQ
156,Vancouver Intl,Vancouver,Canada,YVR
157,Buffalo Narrows,Buffalo Narrows,Canada,YVT
158,Wiarton,Wiarton,Canada,YVV
159,Petawawa,Petawawa,Canada,YWA
160,Winnipeg Intl,Winnipeg,Canada,YWG
161,Wabush,Wabush,Canada,YWK
162,Williams Lake,Williams Lake,Canada,YWL
163,Wrigley,Wrigley,Canada,YWY
164,Canadian Rockies Intl,Cranbrook,Canada,YXC
165,Edmonton City Centre,Edmonton,Canada,YXD
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE
167,Medicine Hat,Medicine Hat,Canada,YXH
168,Fort St John,Fort Saint John,Canada,YXJ
169,Sioux Lookout,Sioux Lookout,Canada,YXL
170,Pangnirtung,Pangnirtung,Canada,YXP
171,Timiskaming Rgnl,Earlton,Canada,YXR
172,Prince George,Prince George,Canada,YXS
173,Terrace,Terrace,Canada,YXT
174,London,London,Canada,YXU
175,Abbotsford,Abbotsford,Canada,YXX
176,Whitehorse Intl,Whitehorse,Canada,YXY
177,North Bay,North Bay,Canada,YYB
178,Calgary Intl,Calgary,Canada,YYC
179,Smithers,Smithers,Canada,YYD
180,Fort Nelson,Fort Nelson,Canada,YYE
181,Penticton,Penticton,Canada,YYF
182,Charlottetown,Charlottetown,Canada,YYG
183,Taloyoak,Spence Bay,Canada,YYH
184,Victoria Intl,Victoria,Canada,YYJ
185,Lynn Lake,Lynn Lake,Canada,YYL
186,Swift Current,Swift Current,Canada,YYN
187,Churchill,Churchill,Canada,YYQ
188,Goose Bay,Goose Bay,Canada,YYR
189,St Johns Intl,St. John's,Canada,YYT
190,Kapuskasing,Kapuskasing,Canada,YYU
191,Armstrong,Armstrong,Canada,YYW
192,Mont Joli,Mont Joli,Canada,YYY
193,Lester B Pearson Intl,Toronto,Canada,YYZ
194,Downsview,Toronto,Canada,YZD
195,Gore Bay Manitoulin,Gore Bay,Canada,YZE
196,Yellowknife,Yellowknife,Canada,YZF
197,Slave Lake,Slave Lake,Canada,YZH
198,Sandspit,Sandspit,Canada,YZP
199,Chris Hadfield,Sarnia,Canada,YZR
200,Port Hardy,Port Hardy,Canada,YZT
201,Whitecourt,Whitecourt,Canada,YZU
202,Sept Iles,Sept-iles,Canada,YZV
203,Teslin,Teslin,Canada,YZW
204,Greenwood,Greenwood,Canada,YZX
205,Faro,Faro,Canada,ZFA
206,Fort Mcpherson,Fort Mcpherson,Canada,ZFM
209,Soummam,Bejaja,Algeria,BJA
210,Houari Boumediene,Algier,Algeria,ALG
211,Tiska,Djanet,Algeria,DJG
212,Boufarik,Boufarik,Algeria,QFD
214,Illizi Takhamalt,Illizi,Algeria,VVZ
216,Tamanrasset,Tamanrasset,Algeria,TMR
217,Jijel,Jijel,Algeria,GJL
220,Annaba,Annaba,Algeria,AAE
221,Mohamed Boudiaf Intl,Constantine,Algeria,CZL
222,Cheikh Larbi Tebessi,Tebessa,Algeria,TEE
224,Hassi R Mel,Tilrempt,Algeria,HRM
225,Bou Chekif,Tiaret,Algeria,TID
227,Tindouf,Tindouf,Algeria,TIN
228,Ech Cheliff,Ech-cheliff,Algeria,QAS
229,Tafaraoui,Oran,Algeria,TAF
230,Zenata,Tlemcen,Algeria,TLM
231,Es Senia,Oran,Algeria,ORN
233,Ghriss,Ghriss,Algeria,MUW
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR
235,Biskra,Biskra,Algeria,BSK
236,El Golea,El Golea,Algeria,ELG
237,Noumerat,Ghardaia,Algeria,GHA
238,Oued Irara,Hassi Messaoud,Algeria,HME
239,In Salah,In Salah,Algeria,INZ
240,Sidi Mahdi,Touggourt,Algeria,TGR
241,Laghouat,Laghouat,Algeria,LOO
242,Timimoun,Timimoun,Algeria,TMX
243,Ouargla,Ouargla,Algeria,OGX
244,In Amenas,Zarzaitine,Algeria,IAM
245,Cadjehoun,Cotonou,Benin,COO
246,Ouagadougou,Ouagadougou,Burkina Faso,OUA
247,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY
248,Kotoka Intl,Accra,Ghana,ACC
249,Tamale,Tamale,Ghana,TML
251,Sunyani,Sunyani,Ghana,NYI
252,Takoradi,Takoradi,Ghana,TKD
253,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ
254,Bouake,Bouake,Cote d'Ivoire,BYK
255,Daloa,Daloa,Cote d'Ivoire,DJO
256,Korhogo,Korhogo,Cote d'Ivoire,HGO
257,Man,Man,Cote d'Ivoire,MJC
258,San Pedro,San Pedro,Cote d'Ivoire,SPY
259,Yamoussoukro,Yamoussoukro,Cote d'Ivoire,ASK
260,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV
261,Akure,Akure,Nigeria,AKR
262,Benin,Benin,Nigeria,BNI
263,Calabar,Calabar,Nigeria,CBQ
264,Enugu,Enugu,Nigeria,ENU
265,Gusau,Gusau,Nigeria,QUS
266,Ibadan,Ibadan,Nigeria,IBA
267,Ilorin,Ilorin,Nigeria,ILR
268,Yakubu Gowon,Jos,Nigeria,JOS
269,Kaduna,Kaduna,Nigeria,KAD
270,Mallam Aminu Intl,Kano,Nigeria,KAN
271,Maiduguri,Maiduguri,Nigeria,MIU
272,Makurdi,Makurdi,Nigeria,MDI
273,Murtala Muhammed,Lagos,Nigeria,LOS
274,Minna New,Minna,Nigeria,MXJ
275,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC
276,Sadiq Abubakar Iii Intl,Sokoto,Nigeria,SKO
277,Yola,Yola,Nigeria,YOL
278,Zaria,Zaria,Nigeria,ZAR
279,Maradi,Maradi,Niger,MFQ
280,Diori Hamani,Niamey,Niger,NIM
281,Tahoua,Tahoua,Niger,THZ
282,Manu Dayak,Agadez,Niger,AJY
285,Zinder,Zinder,Niger,ZND
286,Habib Bourguiba Intl,Monastir,Tunisia,MIR
287,Carthage,Tunis,Tunisia,TUN
290,Gafsa,Gafsa,Tunisia,GAF
291,Gabes,Gabes,Tunisia,GAE
293,Zarzis,Djerba,Tunisia,DJE
294,El Borma,El Borma,Tunisia,EBM
295,Thyna,Sfax,Tunisia,SFA
296,Nefta,Tozeur,Tunisia,TOE
297,Niamtougou International,Niatougou,Togo,LRL
298,Gnassingbe Eyadema Intl,Lome,Togo,LFW
299,Deurne,Antwerp,Belgium,ANR
302,Brussels Natl,Brussels,Belgium,BRU
304,Brussels South,Charleroi,Belgium,CRL
308,Wevelgem,Kortrijk-vevelgem,Belgium,QKT
309,Liege,Liege,Belgium,LGG
310,Oostende,Ostend,Belgium,OST
317,Bautzen,Bautzen,Germany,BBJ
318,Altenburg Nobitz,Altenburg,Germany,AOC
6891,Putnam County Airport,Greencastle,US,4I7
329,Barth,Barth,Germany,BBH
337,Schonefeld,Berlin,Germany,SXF
338,Dresden,Dresden,Germany,DRS
339,Erfurt,Erfurt,Germany,ERF
340,Frankfurt Main,Frankfurt,Germany,FRA
341,Munster Osnabruck,Munster,Germany,FMO
342,Hamburg,Hamburg,Germany,HAM
343,Tempelhof,Berlin,Germany,THF
344,Koln Bonn,Cologne,Germany,CGN
345,Dusseldorf,Duesseldorf,Germany,DUS
346,Franz Josef Strauss,Munich,Germany,MUC
347,Nurnberg,Nuernberg,Germany,NUE
348,Leipzig Halle,Leipzig,Germany,LEJ
349,Saarbrucken,Saarbruecken,Germany,SCN
350,Stuttgart,Stuttgart,Germany,STR
351,Tegel,Berlin,Germany,TXL
352,Hannover,Hannover,Germany,HAJ
353,Neuenland,Bremen,Germany,BRE
355,Frankfurt Hahn,Hahn,Germany,HHN
356,Mannheim City,Mannheim,Germany,MHG
362,Hamburg Finkenwerder,Hamburg,Germany,XFW
363,Kiel Holtenau,Kiel,Germany,KEL
364,Lubeck Blankensee,Luebeck,Germany,LBC
367,Arnsberg Menden,Arnsberg,Germany,ZCA
368,Essen Mulheim,Essen,Germany,ESS
370,Monchengladbach,Moenchengladbach,Germany,MGL
371,Paderborn Lippstadt,Paderborn,Germany,PAD
373,Dortmund,Dortmund,Germany,DTM
374,Augsburg,Augsburg,Germany,AGB
378,Oberpfaffenhofen,Oberpfaffenhofen,Germany,OBF
382,Friedrichshafen,Friedrichshafen,Germany,FDH
383,Schwerin Parchim,Parchim,Germany,SZW
384,Stendal Borstel,Stendal,Germany,ZSN
386,Bayreuth,Bayreuth,Germany,BYU
388,Hof Plauen,Hof,Germany,HOQ
390,Koblenz Winningen,Koblenz,Germany,ZNV
391,Trier Fohren,Trier,Germany,ZQF
392,Speyer,Speyer,Germany,ZQC
394,Donaueschingen Villingen,Donaueschingen,Germany,ZQL
399,Braunschweig Wolfsburg,Braunschweig,Germany,BWE
400,Kassel Calden,Kassel,Germany,KSF
402,Bremerhaven,Bremerhaven,Germany,BRV
403,Emden,Emden,Germany,EME
405,Wilhelmshaven Mariensiel,Wilhelmshaven,Germany,WVN
406,Borkum,Borkum,Germany,BMK
407,Norderney,Norderney,Germany,NRD
408,Flensburg Schaferhaus,Flensburg,Germany,FLF
410,Westerland Sylt,Westerland,Germany,GWT
412,Kardla,Kardla,Estonia,KDL
413,Kuressaare,Kuressaare,Estonia,URE
414,Parnu,Parnu,Estonia,EPU
415,Tallinn,Tallinn-ulemiste International,Estonia,TLL
416,Tartu,Tartu,Estonia,TAY
417,Enontekio,Enontekio,Finland,ENF
419,Halli,Halli,Finland,KEV
420,Helsinki Malmi,Helsinki,Finland,HEM
421,Helsinki Vantaa,Helsinki,Finland,HEL
424,Hyvinkaa,Hyvinkaa,Finland,HYV
428,Ivalo,Ivalo,Finland,IVL
429,Joensuu,Joensuu,Finland,JOE
430,Jyvaskyla,Jyvaskyla,Finland,JYV
431,Kauhava,Kauhava,Finland,KAU
432,Kemi Tornio,Kemi,Finland,KEM
433,Kajaani,Kajaani,Finland,KAJ
435,Kruunupyy,Kruunupyy,Finland,KOK
437,Kuusamo,Kuusamo,Finland,KAO
438,Kittila,Kittila,Finland,KTT
439,Kuopio,Kuopio,Finland,KUO
441,Lappeenranta,Lappeenranta,Finland,LPP
442,Mariehamn,Mariehamn,Finland,MHQ
444,Mikkeli,Mikkeli,Finland,MIK
446,Oulu,Oulu,Finland,OUL
448,Pori,Pori,Finland,POR
453,Rovaniemi,Rovaniemi,Finland,RVN
455,Savonlinna,Savonlinna,Finland,SVL
457,Sodankyla,Sodankyla,Finland,SOT
458,Tampere Pirkkala,Tampere,Finland,TMP
460,Turku,Turku,Finland,TKU
461,Utti,Utti,Finland,QVY
462,Vaasa,Vaasa,Finland,VAA
463,Varkaus,Varkaus,Finland,VRK
465,Belfast Intl,Belfast,UK,BFS
466,St Angelo,Enniskillen,UK,ENK
467,Belfast City,Belfast,UK,BHD
468,City of Derry,Londonderry,UK,LDY
469,Birmingham,Birmingham,UK,BHX
470,Coventry,Coventry,UK,CVT
472,Gloucestershire,Golouchestershire,UK,GLO
478,Manchester,Manchester,UK,MAN
481,St Mawgan,Newquai,UK,NQY
482,Lyneham,Lyneham,UK,LYE
486,Yeovilton,Yeovilton,UK,YEO
488,Cardiff,Cardiff,UK,CWL
489,Swansea,Swansea,UK,SWS
490,Bristol,Bristol,UK,BRS
491,Liverpool,Liverpool,UK,LPL
492,Luton,London,UK,LTN
493,Plymouth,Plymouth,UK,PLH
494,Bournemouth,Bournemouth,UK,BOH
495,Southampton,Southampton,UK,SOU
496,Lasham,Lasham,UK,QLA
497,Alderney,Alderney,Guernsey,ACI
498,Guernsey,Guernsey,Guernsey,GCI
499,Jersey,Jersey,Jersey,JER
500,Shoreham,Shoreham By Sea,UK,ESH
501,Biggin Hill,Biggin Hill,UK,BQH
502,Gatwick,London,UK,LGW
503,City,London,UK,LCY
504,Farnborough,Farnborough,UK,FAB
506,Blackbushe,Blackbushe,UK,BBS
507,Heathrow,London,UK,LHR
508,Southend,Southend,UK,SEN
509,Lydd,Lydd,UK,LYX
510,Manston,Manston,UK,MSE
512,Carlisle,Carlisle,UK,CAX
514,Blackpool,Blackpool,UK,BLK
515,Humberside,Humberside,UK,HUY
516,Walney Island,Barrow Island,UK,BWF
517,Leeds Bradford,Leeds,UK,LBA
519,Hawarden,Hawarden,UK,CEG
520,Isle Of Man,Isle Of Man,Isle of Man,IOM
521,Newcastle,Newcastle,UK,NCL
522,Durham Tees Valley Airport,Teesside,UK,MME
523,Nottingham East Midlands,East Midlands,UK,EMA
529,Kirkwall,Kirkwall,UK,KOI
530,Sumburgh,Sumburgh,UK,LSI
531,Wick,Wick,UK,WIC
532,Dyce,Aberdeen,UK,ABZ
533,Inverness,Inverness,UK,INV
534,Glasgow,Glasgow,UK,GLA
535,Edinburgh,Edinburgh,UK,EDI
536,Islay,Islay,UK,ILY
537,Prestwick,Prestwick,UK,PIK
538,Benbecula,Benbecula,UK,BEB
539,Scatsta,Scatsta,UK,SDZ
540,Dundee,Dundee,UK,DND
541,Stornoway,Stornoway,UK,SYY
542,Tiree,Tiree,UK,TRE
543,Leuchars,Leuchars,UK,ADX
544,Lossiemouth,Lossiemouth,UK,LMO
545,Cambridge,Cambridge,UK,CBG
547,Norwich,Norwich,UK,NWI
548,Stansted,London,UK,STN
552,Exeter,Exeter,UK,EXT
553,Bristol Filton,Bristol,UK,FZO
554,Kidlington,Oxford,UK,OXF
557,Mildenhall,Mildenhall,UK,MHZ
560,Fairford,Fairford,UK,FFD
561,Brize Norton,Brize Norton,UK,BZZ
562,Odiham,Odiham,UK,ODH
564,Northolt,Northolt,UK,NHT
565,Coningsby,Coningsby,UK,QCY
569,Honington,Honington,UK,BEQ
574,Waddington,Waddington,UK,WTN
578,Marham,Marham,UK,KNF
579,Mount Pleasant,Mount Pleasant,Falkland Islands,MPN
580,Schiphol,Amsterdam,Netherlands,AMS
582,Maastricht,Maastricht,Netherlands,MST
585,Eindhoven,Eindhoven,Netherlands,EIN
586,Eelde,Groningen,Netherlands,GRQ
588,De Kooy,De Kooy,Netherlands,DHR
590,Leeuwarden,Leeuwarden,Netherlands,LWR
591,Rotterdam,Rotterdam,Netherlands,RTM
592,Soesterberg,Soesterberg,Netherlands,UTC
593,Twenthe,Enschede,Netherlands,ENS
594,Valkenburg,Valkenburg,Netherlands,LID
595,Woensdrecht,Woensdrecht,Netherlands,WOE
596,Cork,Cork,Ireland,ORK
597,Galway,Galway,Ireland,GWY
599,Dublin,Dublin,Ireland,DUB
600,Ireland West Knock,Connaught,Ireland,NOC
601,Kerry,Kerry,Ireland,KIR
603,Shannon,Shannon,Ireland,SNN
604,Sligo,Sligo,Ireland,SXL
605,Waterford,Waterford,Ireland,WAT
607,Aarhus,Aarhus,Denmark,AAR
608,Billund,Billund,Denmark,BLL
609,Kastrup,Copenhagen,Denmark,CPH
610,Esbjerg,Esbjerg,Denmark,EBJ
612,Karup,Karup,Denmark,KRP
615,Odense,Odense,Denmark,ODE
617,Roskilde,Copenhagen,Denmark,RKE
618,Bornholm Ronne,Ronne,Denmark,RNN
619,Sonderborg,Soenderborg,Denmark,SGD
621,Skrydstrup,Skrydstrup,Denmark,SKS
623,Thisted,Thisted,Denmark,TED
625,Vagar,Vagar,Faroe Islands,FAE
627,Stauning,Stauning,Denmark,STA
628,Aalborg,Aalborg,Denmark,AAL
629,Luxembourg,Luxemburg,Luxembourg,LUX
630,Vigra,Alesund,Norway,AES
631,Andenes,Andoya,Norway,ANX
632,Alta,Alta,Norway,ALF
634,Bronnoy,Bronnoysund,Norway,BNN
635,Bodo,Bodo,Norway,BOO
636,Flesland,Bergen,Norway,BGO
637,Batsfjord,Batsfjord,Norway,BJF
638,Kjevik,Kristiansand,Norway,KRS
640,Bardufoss,Bardufoss,Norway,BDU
641,Evenes,Harstad/Narvik,Norway,EVE
642,Leirin,Fagernes,Norway,VDB
643,Floro,Floro,Norway,FRO
644,Gardermoen,Oslo,Norway,OSL
645,Karmoy,Haugesund,Norway,HAU
646,Hasvik,Hasvik,Norway,HAA
647,Kvernberget,Kristiansund,Norway,KSU
649,Hoybuktmoen,Kirkenes,Norway,KKN
650,Lista,Farsund,Norway,FAN
651,Aro,Molde,Norway,MOL
652,Kjaerstad,Mosjoen,Norway,MJF
653,Banak,Lakselv,Norway,LKL
654,Notodden,Notodden,Norway,NTB
655,Orland,Orland,Norway,OLA
656,Roros,Roros,Norway,RRS
657,Moss,Rygge,Norway,RYG
658,Longyear,Svalbard,Norway,LYR
659,Geiteryggen,Skien,Norway,SKE
660,Sorstokken,Stord,Norway,SRP
662,Stokka,Sandnessjoen,Norway,SSJ
663,Langnes,Tromso,Norway,TOS
664,Torp,Sandefjord,Norway,TRF
665,Vaernes,Trondheim,Norway,TRD
666,Sola,Stavanger,Norway,SVG
668,Lech Walesa,Gdansk,Poland,GDN
669,Balice,Krakow,Poland,KRK
671,Pyrzowice,Katowice,Poland,KTW
674,Lawica,Poznan,Poland,POZ
675,Jasionka,Rzeszow,Poland,RZE
676,Goleniow,Szczecin,Poland,SZZ
677,Redzikowo,Slupsk,Poland,OSP
679,Okecie,Warsaw,Poland,WAW
680,Strachowice,Wroclaw,Poland,WRO
681,Babimost,Zielona Gora,Poland,IEG
685,Ronneby,Ronneby,Sweden,RNB
687,Landvetter,Gothenborg,Sweden,GOT
688,Jonkoping,Joenkoeping,Sweden,JKG
690,Lidkoping,Lidkoping,Sweden,LDK
691,Save,Gothenborg,Sweden,GSE
692,Skovde,Skovde,Sweden,KVB
693,Trollhattan Vanersborg,Trollhattan,Sweden,THN
697,Karlskoga,Karlskoga,Sweden,KSK
698,Mora,Mora,Sweden,MXX
699,Skavsta,Stockholm,Sweden,NYO
703,Kristianstad,Kristianstad,Sweden,KID
704,Landskrona,Landskrona,Sweden,JLD
705,Oskarshamn,Oskarshamn,Sweden,OSK
707,Kalmar,Kalkmar,Sweden,KLR
708,Sturup,Malmoe,Sweden,MMX
709,Halmstad,Halmstad,Sweden,HAD
711,Kronoberg,Vaxjo,Sweden,VXO
714,Sveg,Sveg,Sweden,EVG
715,Gallivare,Gallivare,Sweden,GEV
716,Hudiksvall,Hudiksvall,Sweden,HUV
718,Kramfors Solleftea,Kramfors,Sweden,KRF
719,Lycksele,Lycksele,Sweden,LYC
721,Sundsvall Harnosand,Sundsvall,Sweden,SDL
722,Ornskoldsvik,Ornskoldsvik,Sweden,OER
724,Kiruna,Kiruna,Sweden,KRN
726,Skelleftea,Skelleftea,Sweden,SFT
728,Umea,Umea,Sweden,UME
729,Vilhelmina,Vilhelmina,Sweden,VHM
730,Arvidsjaur,Arvidsjaur,Sweden,AJR
731,Orebro,Orebro,Sweden,ORB
733,Vasteras,Vasteras,Sweden,VST
734,Kallax,Lulea,Sweden,LLA
737,Arlanda,Stockholm,Sweden,ARN
738,Bromma,Stockholm,Sweden,BMA
739,Borlange,Borlange,Sweden,BLE
740,Hultsfred,Hultsfred,Sweden,HLF
741,Gavle,Gavle,Sweden,GVX
742,Saab,Linkoeping,Sweden,LPI
743,Kungsangen,Norrkoeping,Sweden,NRK
746,Visby,Visby,Sweden,VBY
750,Spangdahlem Ab,Spangdahlem,Germany,SPM
751,Ramstein Ab,Ramstein,Germany,RMS
753,Giebelstadt Aaf,Giebelstadt,Germany,GHF
755,Celle,Celle,Germany,ZCN
764,Hanau Aaf,Hanau,Germany,ZNF
769,Geilenkirchen,Geilenkirchen,Germany,GKE
772,Laage,Laage,Germany,RLG
784,Furstenfeldbruck,Fuerstenfeldbruck,Germany,FEL
789,Gutersloh,Guetersloh,Germany,GUT
790,Alexander Bay,Alexander Bay,SA,ALJ
791,Aggeneys,Aggeneys,SA,AGZ
793,Bhisho,Bisho,SA,BIY
794,Bloemfontein Intl,Bloemfontein,SA,BFN
797,Cape Town Intl,Cape Town,SA,CPT
799,Durban Intl,Durban,SA,DUR
800,East London,East London,SA,ELS
803,Grand Central,Johannesburg,SA,GCJ
804,George,George,SA,GRJ
811,Hoedspruit Afb,Hoedspruit,SA,HDS
813,Johannesburg Intl,Johannesburg,SA,JNB
815,Kimberley,Kimberley,SA,KIM
819,Kleinsee,Kleinsee,SA,KLZ
820,Lanseria,Johannesburg,SA,HLA
824,Ladysmith,Ladysmith,SA,LAY
827,Margate,Margate,SA,MGH
832,Messina,Musina,SA,MEZ
834,Newcastle,Newcastle,SA,NCS
837,Oudtshoorn,Oudtshoorn,SA,DUH
838,Port Elizabeth Intl,Port Elizabeth,SA,PLZ
840,Phalaborwa,Phalaborwa,SA,PHW
